Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	Mean	0.51701	NA	NA	NA
1/delta	Mean	0.0508772	NA	NA	NA
nu	Mean	0.249953	NA	NA	NA
M	Mean	0.0071063	NA	NA	NA
R/theta	GBS100	2.41689	0.0533461	109.5	45.3059
1/delta	GBS100	0.823068	0.0061867	109.5	133.038
nu	GBS100	1.01295	0.00164849	622.433	614.473
M	GBS100	0.227722	0.000734865	70.5674	309.883
R/theta	GBS101	1.34439	0.052033	34.7352	25.8372
1/delta	GBS101	0.710275	0.0145239	34.7352	48.9039
nu	GBS101	0.484183	0.00240731	97.3841	201.131
M	GBS101	0.0982975	0.000305618	31.6159	321.635
R/theta	GBS102	1.87995	0.0598616	59.0395	31.4049
1/delta	GBS102	1.19076	0.0240163	59.0395	49.5814
nu	GBS102	0.79854	0.00390562	163.269	204.459
M	GBS102	0.132895	0.000413308	42.7311	321.54
R/theta	GBS103	0.796122	0.0221433	28.6231	35.9531
1/delta	GBS103	0.162535	0.000922952	28.6231	176.104
nu	GBS103	1.30149	0.00157556	1075.09	826.048
M	GBS103	0.170824	0.000562164	51.9079	303.868
R/theta	GBS104	1.16608	0.0415594	32.7183	28.0583
1/delta	GBS104	0.601311	0.0110511	32.7183	54.4116
nu	GBS104	0.784206	0.00343664	178.947	228.189
M	GBS104	0.112361	0.000350179	36.0526	320.866
R/theta	GBS105	2.04174	0.0593679	70.2179	34.3913
1/delta	GBS105	1.03555	0.015272	70.2179	67.8072
nu	GBS105	1.13025	0.00384439	332.295	294
M	GBS105	0.152684	0.000478642	48.7055	318.995
R/theta	GBS106	1.46508	0.0539486	39.7869	27.1569
1/delta	GBS106	0.882242	0.019563	39.7869	45.0975
nu	GBS106	0.78798	0.00431935	143.751	182.43
M	GBS106	0.106307	0.000329976	34.2487	322.167
R/theta	GBS107	2.60254	0.0733225	92.3759	35.4945
1/delta	GBS107	0.935082	0.00946543	92.3759	98.7892
nu	GBS107	1.34033	0.0030038	598.069	446.211
M	GBS107	0.161857	0.000514375	50.931	314.667
R/theta	GBS108	0.996326	0.0440311	22.5446	22.6278
1/delta	GBS108	0.877703	0.0341705	22.5447	25.686
nu	GBS108	0.376726	0.00432701	32.7991	87.0638
M	GBS108	0.0775703	0.000238767	25.2009	324.878
R/theta	GBS109	1.65518	0.0699533	39.1636	23.6612
1/delta	GBS109	0.73027	0.0136171	39.1636	53.6289
nu	GBS109	0.948215	0.00422662	212.726	224.344
M	GBS109	0.0849718	0.00026473	27.2738	320.975
R/theta	GBS110	1.55014	0.0419048	57.3429	36.992
1/delta	GBS110	1.74079	0.0528463	57.3429	32.9407
nu	GBS110	1.37832	0.0112328	169.128	122.705
M	GBS110	0.166342	0.000513617	53.8724	323.865
R/theta	GBS111	2.24085	0.0560087	89.6539	40.0089
1/delta	GBS111	0.516435	0.00297484	89.6539	173.601
nu	GBS111	1.08261	0.00133039	880.983	813.755
M	GBS111	0.197284	0.000648498	60.0174	304.218
R/theta	GBS112	1.74137	0.04242	71.4841	41.0506
1/delta	GBS112	0.644338	0.00580788	71.4841	110.942
nu	GBS112	1.27681	0.00252375	645.958	505.916
M	GBS112	0.198235	0.000633402	62.0417	312.97
R/theta	GBS113	1.06334	0.0329715	34.293	32.2503
1/delta	GBS113	1.0478	0.0320149	34.293	32.7285
nu	GBS113	0.728172	0.00598516	88.5916	121.663
M	GBS113	0.137108	0.00042331	44.4084	323.894
R/theta	GBS114	1.52617	0.0579208	40.2135	26.3493
1/delta	GBS114	0.563757	0.00790336	40.2135	71.3313
nu	GBS114	0.746358	0.00239745	232.351	311.314
M	GBS114	0.102506	0.000321839	32.6485	318.502
R/theta	GBS115	1.56216	0.0585673	41.6673	26.6729
1/delta	GBS115	0.868629	0.0181081	41.6674	47.9691
nu	GBS115	0.980554	0.00498913	192.716	196.538
M	GBS115	0.103441	0.000321481	33.2839	321.765
R/theta	GBS116	1.23806	0.049488	30.9731	25.0174
1/delta	GBS116	0.784696	0.0198801	30.9731	39.4714
nu	GBS116	0.549289	0.00354861	85.0246	154.79
M	GBS116	0.0928168	0.000287401	29.9754	322.952
R/theta	GBS117	1.27483	0.0474694	34.2368	26.8559
1/delta	GBS117	0.874637	0.0223441	34.2368	39.144
nu	GBS117	1.24921	0.00815507	191.355	153.181
M	GBS117	0.104165	0.000322494	33.645	322.998
R/theta	GBS118	0.799957	0.0369848	17.3026	21.6294
1/delta	GBS118	1.32382	0.101285	17.3026	13.0702
nu	GBS118	1.26758	0.050534	31.7956	25.0837
M	GBS118	0.0710396	0.000217486	23.2044	326.64
R/theta	GBS119	1.03818	0.0420499	25.632	24.6893
1/delta	GBS119	1.29939	0.0658714	25.632	19.7262
nu	GBS119	0.686827	0.0118862	39.6875	57.7838
M	GBS119	0.0899957	0.000276306	29.3125	325.71
R/theta	GBS120	1.04888	0.0421344	26.1105	24.8937
1/delta	GBS120	0.806613	0.0249181	26.1105	32.3705
nu	GBS120	0.886329	0.00739198	106.274	119.904
M	GBS120	0.0917615	0.000283263	29.7256	323.944
R/theta	GBS121	1.67945	0.0724495	38.9313	23.181
1/delta	GBS121	1.33907	0.0460586	38.9313	29.0733
nu	GBS121	1.16382	0.0112224	120.694	103.705
M	GBS121	0.0810903	0.000249966	26.3061	324.405
R/theta	GBS122	1.22254	0.0544813	27.4334	22.4397
1/delta	GBS122	1.23226	0.055351	27.4334	22.2627
nu	GBS122	0.942068	0.0134111	66.1757	70.2452
M	GBS122	0.0762988	0.000234509	24.8243	325.356
R/theta	GBS123	0.803038	0.0310953	20.7385	25.825
1/delta	GBS123	1.40837	0.0956438	20.7385	14.7252
nu	GBS123	0.795532	0.0239514	26.4232	33.2144
M	GBS123	0.0967402	0.000296377	31.5768	326.409
R/theta	GBS124	1.12772	0.0558111	22.7868	20.2061
1/delta	GBS124	0.818786	0.029421	22.7868	27.83
nu	GBS124	0.600751	0.00615543	58.6315	97.597
M	GBS124	0.0627537	0.000193339	20.3685	324.578
R/theta	GBS125	0.952205	0.0421301	21.5213	22.6015
1/delta	GBS125	0.902315	0.0378311	21.5213	23.8512
nu	GBS125	0.741226	0.0094969	57.8522	78.0493
M	GBS125	0.0773459	0.000237889	25.1478	325.134
R/theta	GBS126	0.922011	0.0434046	19.5856	21.2423
1/delta	GBS126	1.28407	0.0841856	19.5856	15.2528
nu	GBS126	1.49602	0.0417809	53.5673	35.8065
M	GBS126	0.0687412	0.000210646	22.4327	326.335
R/theta	GBS127	1.08144	0.0410428	28.495	26.3491
1/delta	GBS127	1.31956	0.061107	28.495	21.5943
nu	GBS127	0.737355	0.0110116	49.3744	66.9616
M	GBS127	0.100248	0.000308028	32.6256	325.449
R/theta	GBS128	1.71853	0.067897	43.4975	25.3108
1/delta	GBS128	0.483182	0.00536733	43.4975	90.0229
nu	GBS128	0.631083	0.00156541	254.417	403.143
M	GBS128	0.0968149	0.000306481	30.583	315.892
R/theta	GBS129	1.1702	0.0539558	25.3794	21.6881
1/delta	GBS129	1.25365	0.0619261	25.3794	20.2443
nu	GBS129	1.38699	0.0229903	83.6762	60.3293
M	GBS129	0.071625	0.000219953	23.3238	325.638
R/theta	GBS130	0.802483	0.0329746	19.5295	24.3364
1/delta	GBS130	1.40306	0.1008	19.5295	13.9192
nu	GBS130	1.1073	0.0378501	32.3939	29.2549
M	GBS130	0.0876086	0.000268309	28.6061	326.521
R/theta	GBS131	0.627484	0.0303493	12.9735	20.6754
1/delta	GBS131	1.17296	0.106049	12.9735	11.0605
nu	GBS131	0.900689	0.0592163	13.6996	15.2102
M	GBS131	0.0651545	0.000199298	21.3004	326.921
R/theta	GBS132	1.05021	0.0257892	42.7677	40.7229
1/delta	GBS132	0.245021	0.00140376	42.7677	174.547
nu	GBS132	1.60869	0.00196566	1316.55	818.399
M	GBS132	0.202069	0.000664514	61.4463	304.086
R/theta	GBS133	0.877845	0.0272915	28.2364	32.1656
1/delta	GBS133	0.793303	0.0222879	28.2364	35.5934
nu	GBS133	0.668634	0.00492592	90.7589	135.738
M	GBS133	0.13676	0.00042276	44.2411	323.494
R/theta	GBS134	1.60427	0.0500796	51.3916	32.0343
1/delta	GBS134	1.0344	0.02082	51.3916	49.6827
nu	GBS134	1.04906	0.00511844	215.012	204.957
M	GBS134	0.136809	0.0004255	43.9878	321.526
R/theta	GBS135	0.663983	0.0271448	16.2415	24.4608
1/delta	GBS135	1.23999	0.094669	16.2415	13.0981
nu	GBS135	0.838433	0.0332435	21.1461	25.2209
M	GBS135	0.0883366	0.000270444	28.8539	326.636
R/theta	GBS136	0.787925	0.0314793	19.7217	25.0299
1/delta	GBS136	0.694471	0.0244548	19.7217	28.3982
nu	GBS136	1.18544	0.0118086	119.004	100.388
M	GBS136	0.0924375	0.000284862	29.9959	324.499
R/theta	GBS137	0.78326	0.0381302	16.0895	20.5417
1/delta	GBS137	1.16833	0.0848382	16.0895	13.7713
nu	GBS137	0.840069	0.029447	23.9656	28.5282
M	GBS137	0.0644155	0.000197265	21.0344	326.542
R/theta	GBS138	2.57605	0.072509	91.5204	35.5273
1/delta	GBS138	0.7211	0.00568163	91.5204	126.918
nu	GBS138	0.889765	0.00152252	519.982	584.404
M	GBS138	0.164183	0.000528364	51.0179	310.738
R/theta	GBS139	2.42252	0.0636847	92.151	38.0393
1/delta	GBS139	0.622125	0.00420006	92.151	148.123
nu	GBS139	0.595344	0.000864592	409.944	688.583
M	GBS139	0.182133	0.000591769	56.0561	307.776
R/theta	GBS140	1.72294	0.0611869	48.5154	28.1586
1/delta	GBS140	1.27725	0.0336258	48.5154	37.9842
nu	GBS140	0.96116	0.00651706	141.755	147.484
M	GBS140	0.112157	0.000347063	36.2446	323.16
R/theta	GBS141	1.152	0.0432062	30.7156	26.6628
1/delta	GBS141	1.30504	0.0554479	30.7156	23.5362
