Node	Beg	End
GBS100	8519	8520
GBS100	9430	9521
GBS100	9560	9649
GBS100	11460	11534
GBS100	11950	11956
GBS100	13922	13924
GBS100	17871	17874
GBS100	19797	19800
GBS100	20528	20533
GBS100	21085	21088
GBS100	21225	21227
GBS100	21337	21348
GBS100	21418	21419
GBS100	21567	21577
GBS100	21740	21758
GBS100	21797	22016
GBS100	22594	22610
GBS100	22750	22832
GBS100	25278	25284
GBS100	27695	27696
GBS100	30110	30112
GBS100	34445	34458
GBS100	34703	34708
GBS100	36867	36875
GBS100	37059	37069
GBS100	37780	37856
GBS100	37930	37956
GBS100	38011	38071
GBS100	38118	38143
GBS100	38315	38425
GBS100	38672	38767
GBS100	38811	38815
GBS100	38913	38922
GBS100	39045	39052
GBS100	39122	39176
GBS100	39464	39510
GBS100	39780	40011
GBS100	40143	40256
GBS100	40332	40337
GBS100	40709	40734
GBS100	40791	40827
GBS100	40904	40910
GBS100	41124	41125
GBS100	41163	41201
GBS100	41242	41288
GBS100	41368	41377
GBS100	41420	41445
GBS100	41533	41616
GBS100	41720	41735
GBS100	41982	42000
GBS100	42039	42068
GBS100	42144	42148
GBS100	42237	42266
GBS100	42317	42345
GBS100	42431	42467
GBS100	42554	42560
GBS100	42599	42609
GBS100	43028	43036
GBS100	43851	43852
GBS100	43915	43916
GBS101	4839	5030
GBS101	5473	5488
GBS101	12725	12744
GBS101	20515	20583
GBS101	21310	21314
GBS101	22383	22560
GBS101	24570	24618
GBS101	25038	25057
GBS101	25273	25309
GBS101	34503	34532
GBS102	2968	2969
GBS102	5478	5538
GBS102	10165	10224
GBS102	15775	15776
GBS102	16435	16445
GBS102	17288	17359
GBS102	19377	19387
GBS102	21843	21850
GBS102	22554	22559
GBS102	23422	23424
GBS102	24872	24897
GBS102	24964	24972
GBS102	25022	25055
GBS102	25170	25171
GBS102	27151	27153
GBS102	27694	27696
GBS102	28172	28173
GBS102	31117	31121
GBS102	31177	31178
GBS102	34803	34806
GBS102	34953	34969
GBS102	38052	38057
GBS102	38608	38620
GBS102	39063	39064
GBS102	39178	39190
GBS102	43029	43041
GBS102	43140	43155
GBS102	43786	43819
GBS102	43867	43927
GBS103	5248	5254
GBS103	8643	8647
